Campaign Name,Ad Name,Headline,Introductory Text,Destination URL,Image URL,Call to Action,Status
4H_2026_pipe_awareness,LI-P3,You're sweating a rough-in. Your phone rings. You can't answer. That customer just hired your competitor.,"Plumbing doesn't wait. A burst supply line. A main stack backup. AC gone, water heater out, toilet overflowing — whatever it is, your customer is calling everyone until someone picks up.

You're not answering. You're working.

Pipe.City is your AI answering employee. It picks up, asks the right questions, schedules emergency dispatches, and books jobs while your hands are full of pipe wrench and primer.

$79/mo. Cancel anytime. Start free at pipe.city.",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_pain-point&utm_content=LI-P3&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Start free at pipe.city,ACTIVE
4H_2026_pipe_retarget,LI-P4,You checked out Pipe.City. Still losing calls to voicemail?,"You were curious enough to visit. Here's the truth: every day without it, you're leaving jobs on the table.

Plumbers using Pipe.City report booking 3-5 jobs per week they'd have otherwise missed — emergency calls captured while they were on-site, after-hours leads converted instead of lost.

Start free. No credit card required. See it work in 20 minutes.

pipe.city",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-visit&utm_content=LI-P4&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Start free at pipe.city,ACTIVE
4H_2026_pipe_retarget,LI-P5,You know the problem. Pipe.City is the fix.,"62% of plumbing service calls go unanswered. You've probably felt it — a voicemail from a potential customer who already booked someone else.

Pipe.City handles your calls while you handle the drain-waste-vent work. Pricing questions. Emergency triage. Scheduling and confirmation. All automatic. All for $79/mo.

No complicated setup. No long-term contract. Ready when you are.",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-engaged&utm_content=LI-P5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Try free — pipe.city,ACTIVE
4H_2026_pipe_retarget,LI-P6,You started signing up for Pipe.City. Finish in 3 minutes.,"Your AI employee is almost ready.

Finish setup and Pipe.City starts answering calls today — capturing jobs while you're on-site, after hours, or elbows-deep in a drain.

One missed emergency call already cost more than $79. Don't let the next one walk.

pipe.city — $79/mo",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-signup&utm_content=LI-P6&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Finish signup — pipe.city,ACTIVE
4H_2026_coat_awareness,LI-C1,You're cutting in a ceiling. Phone rings. That exterior job just hired another painter.,"Spring surge is the busiest time of year. Every painting contractor is slammed, and customers are calling down their list until someone picks up.

You're on the brush. You can't stop mid-cut.

Coat.City answers every call while you're working — 24/7, in painter language. Quotes, scheduling, color consultations, and estimate requests — all handled automatically.

$79/mo. Your AI employee for painting.",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_missed-calls&utm_content=LI-C1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Start free at coat.city,ACTIVE
4H_2026_coat_awareness,LI-C2,$79/mo = one booked exterior job. Coat.City pays for itself before your first coat dries.,"What's an exterior repaint worth to you? $2,000? $4,500? A deck + trim package?

Coat.City answers every call you miss — scheduling estimates, handling color questions, and booking jobs while you're loading the van or rolling a second coat.

One job. One month covered. The math works.

$79/mo flat. Your AI employee for painting.",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roi&utm_content=LI-C2&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Try free — coat.city,ACTIVE
4H_2026_coat_awareness,LI-C3,You're on the brush. Phone rings. You can't put the roller down. Customer moves on.,"Painting season doesn't slow down for phone calls. Spring through summer, customers are calling 3-4 painters and booking the first one who responds.

You're cutting in trim. You're mid-spray on a cabinet job. You're on a ladder three stories up.

Coat.City is your AI answering employee. It picks up, captures the lead, schedules estimates, and keeps your pipeline full — while you stay focused on the finish work.

$79/mo. Cancel anytime. Start free at coat.city.",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_pain-point&utm_content=LI-C3&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Start free at coat.city,ACTIVE
4H_2026_coat_retarget,LI-C4,You checked out Coat.City. Painting season's starting — still losing leads?,"You were curious enough to look. Here's the reality: spring is when most painters lose the most work — not because they're bad, but because they're too busy painting to answer the phone.

Coat.City captures those leads automatically, 24/7.

Start free. No credit card. See your first call handled in 20 minutes.

coat.city",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-visit&utm_content=LI-C4&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Start free at coat.city,ACTIVE
4H_2026_coat_retarget,LI-C5,You know the problem. Coat.City is how painters fix it.,"Peak season. More jobs than you can handle — and still losing leads because you can't answer while you're working.

Coat.City answers every call while you cut in, roll, spray, or prep. Estimates, scheduling, lead capture — all handled automatically.

$79/mo. Ready when you are.",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-engaged&utm_content=LI-C5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Try free — coat.city,ACTIVE
4H_2026_coat_retarget,LI-C6,You started signing up for Coat.City. Finish before peak season hits.,"Your AI painting employee is almost ready.

Finish setup in 3 minutes. Coat.City starts answering calls today — capturing jobs while you're on-site, spraying cabinets, or cutting in a 10-foot ceiling.

Don't lose spring to voicemail.

coat.city — $79/mo",https://coat.city/coat?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-signup&utm_content=LI-C6&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/coat-linkedin-ad.png,Finish signup — coat.city,ACTIVE
4H_2026_disaster_awareness,LI-D2,3am flood call. Did you answer?,3am flood call. The homeowner is panicking. They'll call until someone answers. The restoration contractor who picks up first gets authorization to start mitigation — and owns the entire claim. Don't let that be someone else.,https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_3am-flood&utm_content=lid02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Start free,ACTIVE
4H_2026_disaster_awareness,LI-D3,Restoration jobs won in the first 15 minutes.,"Insurance-driven restoration jobs are won in the first 15 minutes. The adjuster calls, the homeowner calls, the TPA calls — all at odd hours. Saw.City answers them all, captures the details, and texts you instantly. $79/mo.",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_15-minutes&utm_content=lid03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Hear it,ACTIVE
4H_2026_disaster_retarget,LI-D4,Restoration contractors are already using it.,Disaster restoration contractors using Saw.City say they're capturing claim calls they used to miss entirely — especially overnight and on weekends. $79/mo. Contractors like you are already on it.,https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_retarget-using-it&utm_content=lid04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Start now,ACTIVE
4H_2026_disaster_retarget,LI-D5,One flood job. 5 years of AI covered.,"You looked at Saw.City. Here's the reality: one overnight flood mitigation job is worth $10,000-$50,000. Your AI answering service costs $79/mo. The math is ridiculous. Start free.",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_retarget-roi&utm_content=lid05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Get it now,ACTIVE
4H_2026_pest_awareness,LI-PE1,You're in a crawlspace treating for termites. Phone rings. That bed bug call just hired another exterminator.,"Pest control calls are urgent. Bed bugs. Termites. Roaches in a restaurant. Customers call 3 companies — first to answer wins the job.

You're in a crawlspace. You're on a route. You can't answer.

Pest.City answers every call 24/7 — identifies pest type, triages urgency, and schedules treatments while you're doing the work that actually pays.

$79/mo. Your AI employee for pest control.",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_missed-calls&utm_content=LI-PE1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Start free at pest.city,ACTIVE
4H_2026_pest_awareness,LI-PE2,$79/mo = one termite inspection. Pest.City pays for itself before your next route.,"What's your average termite treatment worth? $800? $2,500? A full fumigation?

Pest.City answers every call you miss — identifying pest type, scheduling inspections, and triaging urgent infestations while you're running your route or doing a subterranean baiting job.

One inspection. Multiple months covered.

$79/mo flat. Your AI employee for pest control.",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roi&utm_content=LI-PE2&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Try free — pest.city,ACTIVE
4H_2026_pest_awareness,LI-PE3,"You're in a crawlspace treating for subterranean termites. Phone rings. That's a $3,000 job you just missed.","Pest calls are different from other trades. When someone has bed bugs or a termite swarm, they call until they reach a live voice. They don't leave voicemails. They move to the next number.

You're mid-route. You're under a house in a respirator. You can't stop.

Pest.City is your AI answering employee. It identifies the pest, asks the right questions, schedules inspections and treatments, and keeps your route calendar full — without you stopping the job.

$79/mo. Cancel anytime. Start free at pest.city.",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_pain-point&utm_content=LI-PE3&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Start free at pest.city,ACTIVE
4H_2026_pest_retarget,LI-PE4,You checked out Pest.City. Still losing pest control calls to competitors who pick up?,"You were curious enough to look. Here's the fact: in pest control, the company that answers first almost always gets the job.

Termite swarms. Bed bug discoveries. Rodent infestations. These customers don't wait for callbacks.

Pest.City captures every one of those calls automatically.

Start free. No credit card. pest.city",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-visit&utm_content=LI-PE4&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Start free at pest.city,ACTIVE
4H_2026_electricians_awareness,LI-E1,First to answer wins the service call.,"When a panel goes down at 9pm, the homeowner calls every electrician in town. The one who picks up gets the job — it's that simple. Saw.City answers 24/7 so you're always first.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_first-to-answer&utm_content=lie01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,See it live,ACTIVE
4H_2026_disaster_awareness,LI-D1,First on scene wins the restoration claim.,"In disaster restoration, the mitigation window closes fast. Flood, fire, storm — whoever gets on scene first controls the claim. Saw.City answers every call 24/7 so you're always first on scene. $79/mo.",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_first-on-scene&utm_content=lid01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,See it live,ACTIVE
4H_2026_disaster_retarget,LI-D6,Next disaster is coming. Be ready.,"The next disaster in your market is coming — flood, fire, or storm. The contractor who answers those emergency calls wins the claims. Saw.City has you covered 24/7 for $79/mo. Be ready.",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_retarget-ready&utm_content=lid06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Start free,ACTIVE
4H_2026_bodyshop_awareness,LI-AB2,First estimate wins the job,"In auto body, customers call 2-3 shops and book the first one that responds. If you're spraying, sanding, or under a hood when they call, you just handed them to your competitor. Saw.City answers every call.",https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_first-estimate&utm_content=ab2_hk2_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,Start free,ACTIVE
4H_2026_bodyshop_awareness,LI-AB3,Accidents happen at midnight too,"Collision victims call whoever answers. If your shop goes to voicemail after 5pm, you're invisible. Saw.City's AI answers, qualifies, and books — 24/7, for $79/mo.",https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_after-hours&utm_content=ab3_hk3_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,Hear it,ACTIVE
4H_2026_bodyshop_awareness,LI-AB4,Body shops are answering every call,"Contractors like you are already answering more calls with Saw.City. Auto body shops using our AI are capturing jobs they used to lose to voicemail. $79/mo, no contract.",https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_retarget-social-proof&utm_content=ab4_hk4_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,Start now,ACTIVE
4H_2026_bodyshop_awareness,LI-AB5,One job pays for a year of Saw.City,"Saw.City costs $79/mo. One collision repair is worth $1,500+. You only need to not miss one call per year to break even. Body shops using it say they capture 3-5 more jobs per month.",https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_retarget-roi&utm_content=ab5_hk5_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,Get it now,ACTIVE
4H_2026_bodyshop_awareness,LI-AB6,Set it up in 15 minutes,You've looked at this before. Body shop owners like you are already using Saw.City. Setup takes 15 minutes. Your calls start getting answered today — including the ones you're missing right now.,https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_retarget-easy&utm_content=ab6_hk6_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,Start free,ACTIVE
4H_2026_bodyshop_awareness,LI-AB7,A day in your shop vs. a day with Saw.City,"HOOK: 'Your phone just rang. You're under a car. Nobody answered.' Show the missed call pain vs. AI answering, qualifying, and booking. CTA: See it live at bodyshop.city",https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_video-day-in-life&utm_content=ab7_hk7_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,See it live,ACTIVE
4H_2026_bodyshop_awareness,LI-AB8,Hear the AI answer your calls,HOOK: Play a real Saw.City call answer for a body shop inquiry. Show the customer experience. Contrast with voicemail. CTA: Try it free for your shop at bodyshop.city,https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_video-demo&utm_content=ab8_hk8_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,See it live,ACTIVE
4H_2026_drywall_awareness,LI-DW1,GC called. You didn't answer. Next.,"General contractors have schedules to keep. They call 3 drywall subs — whoever answers first gets the bid. Your crew is on site, hands covered in mud, phone buried in a bucket. That bid just went to someone else.",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_missed-call&utm_content=dw1_hk1_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,See it live,ACTIVE
4H_2026_drywall_awareness,LI-DW2,Can't answer when you're on stilts,"Drywall work demands both hands. You can't answer your phone while taping, mudding, or hanging 12-foot sheets. Meanwhile, GCs are calling and moving on in minutes. Saw.City answers so you never miss another bid request.",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_on-site&utm_content=dw2_hk2_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,Start free,ACTIVE
4H_2026_drywall_awareness,LI-DW3,New construction contracts start with one call,"One commercial drywall contract can be worth $50K–$200K. Builders pick subs who are responsive. If your voicemail is the first thing a GC hears, you're not getting shortlisted. Saw.City changes that for $79/mo.",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_new-build&utm_content=dw3_hk3_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,Hear it,ACTIVE
4H_2026_drywall_awareness,LI-DW4,Drywall contractors are closing more bids,"Contractors like you are already answering more calls with Saw.City. Drywall subs using our AI never miss a GC callback or new project inquiry. $79/mo, no contract.",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_retarget-social-proof&utm_content=dw4_hk4_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,Start now,ACTIVE
4H_2026_drywall_awareness,LI-DW5,One bid pays 6 months of Saw.City,"Saw.City is $79/mo. One drywall contract averages $8,000–$25,000. You missed at least one bid this month because you couldn't pick up. That's the only math that matters.",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_retarget-roi&utm_content=dw5_hk5_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,Get it now,ACTIVE
4H_2026_drywall_awareness,LI-DW6,Your phone starts answering today,You've seen this before. Drywall contractors like you are already using Saw.City to capture GC calls they used to miss on-site. Takes 15 minutes to set up. Start now.,https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_retarget-easy&utm_content=dw6_hk6_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,Start free,ACTIVE
4H_2026_drywall_awareness,LI-DW7,What happens when GCs can't reach you,"HOOK: 'A GC just called your number. You're on stilts finishing a ceiling. Nobody answered.' Show the cascade: GC calls next sub, books them, your phone buzzes with a missed call 2 hours later. Saw.City contrast. CTA: See it at drywall.city",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_video-day-in-life&utm_content=dw7_hk7_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,See it live,ACTIVE
4H_2026_drywall_awareness,LI-DW8,Hear Saw.City answer for your shop,"HOOK: Play a Saw.City AI answering a drywall inquiry from a GC. Show qualification, scheduling, professional response. CTA: Try it free at drywall.city",https://drywall.city/drywall?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_drywall_video-demo&utm_content=dw8_hk8_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/drywall-hero.jpg,See it live,ACTIVE
4H_2026_test_awareness,TEST-DEL-1,Test headline,Test,https://test.city/test?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_test_hook&utm_content=test&utm_term=owners_1-10,https://example.com/test.png,See it live,ACTIVE
4H_2026_excavation_awareness,LI-EX1,GCs don't wait for callbacks,Site prep timelines are tight. A GC needs an excavator on-site by Monday. They call 3 operators. The first one who answers gets the job. You're in the cab with ear protection on. That call just went to voicemail — and the job went to someone else.,https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_schedule-pressure&utm_content=ex1_hk1_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,See it live,ACTIVE
4H_2026_excavation_awareness,LI-EX2,You can't answer from inside an excavator,"Operating heavy equipment means zero phone availability. But GCs, developers, and homeowners are calling right now. Every missed call is a potential contract worth $5K–$50K. Saw.City answers every call when you can't.",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_in-the-cab&utm_content=ex2_hk2_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,Start free,ACTIVE
4H_2026_excavation_awareness,LI-EX3,"235,000 excavation operators compete for every job","The excavation market is fragmented and competitive. Responsiveness is your biggest differentiator — not equipment, not experience. The operator who answers wins. For $79/mo, Saw.City makes you that operator.",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_competitive&utm_content=ex3_hk3_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,Hear it,ACTIVE
4H_2026_excavation_awareness,LI-EX4,Excavators are winning more bids,"Contractors like you are already answering more calls with Saw.City. Excavation operators who use our AI capture GC calls they used to miss from the cab. $79/mo, no contract.",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_retarget-social-proof&utm_content=ex4_hk4_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,Start now,ACTIVE
4H_2026_excavation_awareness,LI-EX5,One excavation job = 6 months of Saw.City,"Saw.City is $79/mo. One foundation dig is worth $8,000+. You're missing calls every week from the cab. That math is simple — stop missing the jobs you've already earned.",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_retarget-roi&utm_content=ex5_hk5_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,Get it now,ACTIVE
4H_2026_excavation_awareness,LI-EX6,Answer every call without touching your phone,You've been thinking about this. Excavation contractors like you are using Saw.City to stop missing bids while they're in the cab. Setup takes 15 minutes. Your calls start getting answered today.,https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_retarget-easy&utm_content=ex6_hk6_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,Start free,ACTIVE
4H_2026_excavation_awareness,LI-EX7,The call you missed from the cab,"HOOK: 'You're 8 feet down in a foundation trench. Your phone rings. You can't hear it.' Show the missed call, the GC moving on, the job you didn't get. Saw.City answers in your place. CTA: See it at excavation.city",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_video-day-in-life&utm_content=ex7_hk7_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,See it live,ACTIVE
4H_2026_excavation_awareness,LI-EX8,Hear Saw.City answer for your excavation business,"HOOK: Play Saw.City answering an excavation inquiry — project scope, timeline, contact capture. Show professionalism that wins bids. CTA: Try it free at excavation.city",https://excavation.city/excavation?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_excavation_video-demo&utm_content=ex8_hk8_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/excavation-hero.jpg,See it live,ACTIVE
4H_2026_housecleaning_awareness,LI-HC1,They call once and book the first answer,"House cleaning customers don't leave voicemails. They call 2-3 services and book whoever answers. You're at a client's house, hands full, phone ringing in your pocket. That new booking just went to someone on their couch checking their phone.",https://housecleaning.city/housecleaning?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_housecleaning_one-call&utm_content=hc1_hk1_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/house-cleaning-hero.jpg,See it live,ACTIVE
4H_2026_housecleaning_awareness,LI-HC2,Your best referral just went to voicemail,"Word-of-mouth is everything in house cleaning. When someone's neighbor refers you and you don't answer, that trust transfer is wasted. Saw.City answers, books the appointment, and you show up. $79/mo.",https://housecleaning.city/housecleaning?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_housecleaning_referral&utm_content=hc2_hk2_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/house-cleaning-hero.jpg,Start free,ACTIVE
4H_2026_housecleaning_awareness,LI-HC3,Solo cleaners can't answer and clean at the same time,You can't answer your phone while you're cleaning. But potential clients don't care — they'll just book someone who does answer. Saw.City is like having a receptionist for the cost of one cleaning visit per month.,https://housecleaning.city/housecleaning?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_housecleaning_solo-op&utm_content=hc3_hk3_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/house-cleaning-hero.jpg,Hear it,ACTIVE
4H_2026_housecleaning_awareness,LI-HC4,Cleaners are booking more clients,"Contractors like you are already answering more calls with Saw.City. House cleaning operators using our AI book new clients even while they're mid-clean. $79/mo, no contract.",https://housecleaning.city/housecleaning?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_housecleaning_retarget-social-proof&utm_content=hc4_hk4_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/house-cleaning-hero.jpg,Start now,ACTIVE
4H_2026_housecleaning_awareness,LI-HC5,"One recurring client = $1,200/year","Saw.City costs $79/mo = $948/year. One recurring house cleaning client you capture instead of miss is worth $1,200–$2,400/year. You're missing at least one per week. That's the math.",https://housecleaning.city/housecleaning?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_housecleaning_retarget-roi&utm_content=hc5_hk5_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/house-cleaning-hero.jpg,Get it now,ACTIVE
